Respondent ID,ResidencyStatus,Age,Gender,Race,Ethnicity,PrimaryLang,LangOther,MedicalnsuranceType,InsuranceOther,ChildUnder18inHome,Employed,ResidenceType,ResidenceOther,IncomeRange,SizeHousehold,ZipCode,HousingBurdened,MaritalStatus,HighestLevelEd
11175384095,Permanent,60 and over,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",2,33950,No,Married,Advance Degree (Masters or Doctorate)
11175370740,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,,2,33950,No,Married,Associate's Degree
11175295204,Permanent,60 and over,Male,,Hispanic or Latino,English,,Medicare/Medicaid,,No,,,,"$15,000 to $45,000",2,,Yes,Married,Some High School or Less
11175288158,Permanent,60 and over,Female,Black or African American,,English,,Medicare/Medicaid,,No,Retired,Rent a Home,,"Less than $15,000",1,,Yes,Divorced,Some High School or Less
11175277587,Permanent,35-59,Female,Black or African American,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Unemployed,Own a Home,,"Less than $15,000",2,33950,No,Single,High School Diploma/GED
11175267972,Seasonal,60 and over,Male,White,Hispanic or Latino,English,,Private insurance,,No,Full Time,,,"$15,000 to $45,000",2,,No,Married,Associate's Degree
11175258600,Permanent,60 and over,Female,White,,English,,,,No,Retired,Own a Home,,"$15,000 to $45,000",1,34224,Yes,Divorced,Some College
11175250062,,35-59,Male,,Not Hispanic or Latino,English,,Private insurance,,Yes,Retired,Rent a Home,,"$15,000 to $45,000",5,34266,Yes,Married,Some College
11175236349,Permanent,35-59,,White,Not Hispanic or Latino,English,,Private insurance,,Yes,Full Time,Own a Home,,"$15,000 to $45,000",3,33954,Yes,Married,High School Diploma/GED
11175229187,Permanent,35-59,Male,White,Not Hispanic or Latino,English,,Private insurance,,Yes,Full Time,Rent a Home,,"$45,001 to $90,000",4,,Yes,Married,High School Diploma/GED
11175219611,Permanent,60 and over,Female,White,Hispanic or Latino,English,,Medicare/Medicaid,,No,Unemployed,Own a Home,,"$45,001 to $90,000",2,,No,Married,Bachelor's Degree
11175199664,Permanent,,,White,,English,,Private insurance,,No,Retired,Own a Home,,"$45,001 to $90,000",3,,No,Married,Bachelor's Degree
11175189002,Permanent,60 and over,Female,American Indian or Alaska Native,,English,,No Insurance,,No,Unemployed,Other (please specify),mom,,2,33952,No,Single,High School Diploma/GED
11175176277,Permanent,60 and over,Female,,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"$15,000 to $45,000",2,33952,No,Widowed,Some College
11175164765,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Other (please specify),Assisted Living,"$15,000 to $45,000",,33948,No,Widowed,High School Diploma/GED
11175139037,Permanent,60 and over,,White,,English,,Private insurance,,No,Retired,Own a Home,,,2,53950,No,Married,Bachelor's Degree
11175128915,Permanent,18-34,Female,Black or African American,,English,,Medicare/Medicaid,,Yes,Unemployed,Rent a Home,,"$15,000 to $45,000",4,,Yes,Single,High School Diploma/GED
11175115405,Permanent,35-59,Male,White,Not Hispanic or Latino,English,,No Insurance,,Yes,Unemployed,Own a Home,,"Less than $15,000",4,33981,Yes,Married,High School Diploma/GED
11175104609,Permanent,60 and over,Female,Other,Hispanic or Latino,English,,Medicare/Medicaid,,,Retired,Own a Home,,,1,33948,No,Widowed,High School Diploma/GED
11175092364,Permanent,60 and over,Female,,Hispanic or Latino,Spanish,,,,No,Retired,Own a Home,,"$45,001 to $90,000",2,33954,No,Married,High School Diploma/GED
11173249386,Permanent,60 and over,Female,Black or African American,,English,,Medicare/Medicaid,,Yes,Retired,Own a Home,,,1,,Not Sure,,Some High School or Less
11173235540,,,,,,,,,,,,,,,,,,,
11173223016,Permanent,60 and over,Female,Native Hawaiian or Other Pacific Islander,,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"Less than $15,000",,,No,Married,High School Diploma/GED
11173209838,Permanent,,Female,White,,English,,Medicare/Medicaid,,No,Retired,,,,3,33948,Yes,Widowed,Associate's Degree
11173198394,Permanent,,,Black or African American,,English,,No Insurance,,Yes,Part Time,Rent a Home,,"$15,000 to $45,000",5,,Yes,Single,High School Diploma/GED
11173190326,,,,,,,,,,,,,,,,,,,
11173055944,Permanent,18-34,Female,White,,English,,Private insurance,,Yes,Full Time,Live with Others,,"$15,000 to $45,000",2,,Yes,Single,Associate's Degree
11173042890,Permanent,60 and over,Female,,,,,,,No,Unemployed,Live with Others,,"Less than $15,000",2,33954,,Married,Some High School or Less
11173026214,Permanent,60 and over,,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Own a Home,,"Less than $15,000",1,33980,No,Widowed,High School Diploma/GED
11172966525,Permanent,60 and over,Female,White,,English,,Private insurance,,No,Retired,Own a Home,,"$15,000 to $45,000",1,,,Widowed,Some College
11172938467,Permanent,60 and over,Male,White,,English,,Private insurance,,No,Retired,Rent a Home,,"$15,000 to $45,000",2,33954,Not Sure,Married,High School Diploma/GED
11172872881,Permanent,35-59,,White,Not Hispanic or Latino,English,,Private insurance,,No,Full Time,Live with Others,,"$15,000 to $45,000",2,33952,No,Single,Associate's Degree
11172803317,Permanent,60 and over,Female,,Hispanic or Latino,English,,Private insurance,,No,Full Time,Own a Home,,"$45,001 to $90,000",2,,No,Married,Some College
11172753320,Permanent,35-59,,White,Not Hispanic or Latino,English,,Private insurance,,No,Full Time,Live with Others,,"$15,000 to $45,000",3,33950,Not Sure,Divorced,Bachelor's Degree
11172746603,,,,,,,,,,,,,,,,,,,
11172363102,Seasonal,35-59,Female,Other,Hispanic or Latino,Spanish,,Private insurance,,Yes,Full Time,Own a Home,,"$45,001 to $90,000",3,34235,No,Married,Advance Degree (Masters or Doctorate)
11172347091,Permanent,35-59,Female,Other,Hispanic or Latino,Spanish,,Private insurance,,Yes,Full Time,Own a Home,,"$15,000 to $45,000",4,34288,No,Married,Some College
11172335569,Seasonal,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Self-Employed,Own a Home,,"$90,001 to $150,000",2,34224,Not Sure,Married,Some College
11172303812,Seasonal,60 and over,Male,Mixed,Hispanic or Latino,Spanish,,Private insurance,,No,Part Time,Own a Home,,"$90,001 to $150,000",2,33950,No,Married,Advance Degree (Masters or Doctorate)
11172278963,Permanent,35-59,,Other,Hispanic or Latino,Spanish,,Medicare/Medicaid,,No,Retired,Own a Home,,"Less than $15,000",,33952,Yes,,
11172197756,Permanent,60 and over,Female,Other,Hispanic or Latino,Spanish,,Medicare/Medicaid,,Yes,Retired,Own a Home,,"Less than $15,000",3,33952,Yes,Divorced,High School Diploma/GED
11172186318,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Full Time,Own a Home,,"$90,001 to $150,000",2,33983,No,,Advance Degree (Masters or Doctorate)
11172167471,Permanent,60 and over,,White,,English,,Medicare/Medicaid,,No,Retired,Rent a Home,,"$45,001 to $90,000",1,33950,No,Single,Some College
11172149313,,18-34,Male,Black or African American,Not Hispanic or Latino,English,,Private insurance,,No,Full Time,Rent a Home,,"$45,001 to $90,000",2,33905,No,Single,Advance Degree (Masters or Doctorate)
11172120974,Permanent,35-59,Male,White,,English,,No Insurance,,No,Self-Employed,Own a Home,,"Less than $15,000",1,33952,Yes,Single,Some High School or Less
11172062754,Permanent,35-59,Female,White,,English,,Medicare/Medicaid,,Yes,Unemployed,Other (please specify),Homeless,"Less than $15,000",2,33950,Yes,Single,Some College
11172052079,Permanent,35-59,Male,White,Not Hispanic or Latino,English,,No Insurance,,No,Unemployed,Other (please specify),Boat,"Less than $15,000",4,33950,Yes,Divorced,Associate's Degree
11172044998,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,Private insurance,,No,Retired,Own a Home,,,2,34224,No,Single,Some College
11172041700,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Rent a Home,,"Less than $15,000",1,33950,No,Widowed,Some College
11172034736,Permanent,60 and over,Female,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,No,Retired,Rent a Home,,"$15,000 to $45,000",1,33955,Yes,Widowed,
11172010683,Permanent,35-59,Male,White,Not Hispanic or Latino,English,,Medicare/Medicaid,,Yes,Unemployed,Live with Others,,"Less than $15,000",2,33982,Not Sure,Single,High School Diploma/GED
11172000928,Permanent,35-59,Female,White,Not Hispanic or Latino,English,,No Insurance,,Yes,Unemployed,Other (please specify),Homeless,"Less than $15,000",2,,Yes,Divorced,Some College
