RespondentID,Child Abuse/Neglect,ChronicDisease,LonelinessIsolation,DomesticViolence,Crime,DentalProblems,CostofHousing,DrugAlcohol,PeoplenotGetVaccImmun,SedentaryLifestyle,Smoking/VapingTobaccoUse,FirearmRelatedInjuries,GunViolence,Suicide,ElderAbuse/Neglect,MentalHealthProblems,Obesity,SexuallyTransmittedDiseases,Rape/SexualAssault,AgingProblems,Homelessness,QualityNutrition,SeniorCare,AccessSpecialtyCare,LackofFood,CulturalConcerns,AccesstoPrimaryCare,TeenPregnancy,Dementia/Alzheimer,Other
11175384095,,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,Dental Problems,Cost of Housing,,,,,,,,,,,,,Aging Problems,Homelessness,,,,,,,,Dementia/Alzheimer,
11175370740,,,,,,Dental Problems,Cost of Housing,,,,,,,,,Mental Health Problems,,,,Aging Problems,Homelessness,,,,,,,,,Affordable housing
11175295204,,,,,,,,Drug/Alcohol,,,,,Gun Violence,,,Mental Health Problems,,,,,Homelessness,,Senior Care,,,,,,,
11175288158,Child Abuse/Neglect,,,Domestic Violence,,,Cost of Housing,,,,,,,,Elder Abuse/Neglect,,,,,,,,,,,,,,,
11175277587,Child Abuse/Neglect,"Chronic Disease (Asthma, Cancer, Diabetes, Heart Disease)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
11175267972,,,,,Crime,,,,,,,,,,,,,,,,,,,,,,,,,
11175258600,Child Abuse/Neglect,,,,,Dental Problems,,Drug/Alcohol,,,,,,,Elder Abuse/Neglect,,,,,,,,,,,,,,,
11175250062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not a resident
11175236349,Child Abuse/Neglect,,,Domestic Violence,,,,Drug/Alcohol,,,,,,Suicide,,,,,,,,,,,,,,,,
11175229187,,,,,,,Cost of Housing,,,,,,,,,,,,,,,,,,,,,,,
11175219611,,,Loneliness /Isolation,,,Dental Problems,,,,,,,,,,Mental Health Problems,,,,,,,,,,,Access to Primary Care,,,
11175199664,Child Abuse/Neglect,,,Domestic Violence,,,,,,,,,,,Elder Abuse/Neglect,,,,Rape/Sexual Assault,,,,Senior Care,,,,,,,
11175189002,Child Abuse/Neglect,,,,Crime,,,Drug/Alcohol,,,,Firearm-Related Injuries,Gun Violence,,,,,,,,,,,,,,,,,
11175176277,,,,,,,Cost of Housing,,,,,,,,,Mental Health Problems,,,,,Homelessness,,Senior Care,,,,,,Dementia/Alzheimer,
11175164765,,,Loneliness /Isolation,,,,Cost of Housing,,,Sedentary Lifestyle (Not Enough Exercise),"Smoking/Vaping, Tobacco Use",,,,,,,,,,,,,,,,,,,
11175139037,,,,,,,,Drug/Alcohol,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,,,,,,,,,,,
11175128915,,,,,,,,,,,,,,,,Mental Health Problems,,,Rape/Sexual Assault,,Homelessness,,,,Lack of Food,,,Teenage Pregnancy,,
11175115405,Child Abuse/Neglect,,,,,,Cost of Housing,Drug/Alcohol,,,,,,,,,,,,,Homelessness,,,,Lack of Food,,,,,
11175104609,Child Abuse/Neglect,,Loneliness /Isolation,,,,,,,,"Smoking/Vaping, Tobacco Use",,,,,,,,,Aging Problems,,,,,,,,,,
