RespondID,HealthierMenuOptionsRest,FreeLowCostSportsEquip,AccessTrailsParks,CounselingSupport,WellMaintainedSidewalks,HealthEducationWellnessProg,AffordableSportsRecActiv,FarmersMarkets,CommunityGardens,SmokeFreeEnviron,MentalHealthSupportProg,AdequateAfterSchoolProg,DiversityTolerantPop,AffordableHousing,HighQualJobs,ArtsCulturalEvents,CleanEnviron,TransportationOptions,LowCrimeSafeNeighborhoods,ReligiousSpiritualValues,Churches,QualEducGoodSchools,Other
11175384095,Healthier Menu Options at Restaurants,,,,,,,,,,Mental Health Support Programs,,,,High Quality Jobs,,,Transportation Options,,,,Quality Education (Good Schools),
11175370740,Healthier Menu Options at Restaurants,,,,,,,,,,Mental Health Support Programs,Adequate After-School Programs,,,High Quality Jobs,,,Transportation Options,Low Crime/Safe Neighborhoods,Religious and Spiritual Values,Churches,Quality Education (Good Schools),
11175295204,Healthier Menu Options at Restaurants,,,,,Health Education/Wellness Programs,,,,Smoke-Free Environment,,,,,,,,,,,,,
11175288158,,,,,,,,,,,,,,,High Quality Jobs,,,,,,,,
11175277587,Healthier Menu Options at Restaurants,,,,,,,,,,,,,,,,,Transportation Options,,,,,
11175267972,,,Access to Trails and Parks,,,,,Farmers Markets,,,,,,,,,,Transportation Options,,,,,
11175258600,,,,,,Health Education/Wellness Programs,,,,,,,,,,,,,,,,,
11175250062,,,,,,,,Farmers Markets,,,,,,,,,,,,Religious and Spiritual Values,,,
11175236349,,Free or Low Cost Sports Equipment,,Counseling & Support,,,,,,,Mental Health Support Programs,,,,,,,,,,,,
11175229187,,,,,,,,,Community Gardens,,,,,,,,,,,,,,
11175219611,Healthier Menu Options at Restaurants,,,Counseling & Support,,Health Education/Wellness Programs,,,,,,,,,,,,,,,,,
11175199664,,,,,Well-Maintained Sidewalks,,Affordable Sports and Recreation Activities,,,,,,,,,Arts and Cultural Events,,,Low Crime/Safe Neighborhoods,,,,
11175189002,,,,,Well-Maintained Sidewalks,,,,,,,,,,,,Clean Environment,,,,,,
11175176277,,,,,,,,Farmers Markets,,,,,A Diversity-Tolerant Population,Affordable Housing,,,,Transportation Options,Low Crime/Safe Neighborhoods,,,,
11175164765,,,Access to Trails and Parks,,,,Affordable Sports and Recreation Activities,,,Smoke-Free Environment,,,,,,,,,,,,,
