RespondID,CulturalReligBelief,FearNotReadyFaceProblem,FearImmigrationLegal,FocusOtherIssues,HealthServicesTooFarAway,LackInsUnablePay,LackKnowledgeUnderstandNeed,NoAppointmentsAvailableDoctor,WaitTooLongDoctor,LackTransport,LackQualityServices,TooBusyCantGetOffWork,LackofProvidersAcceptInsure,None,Other
11175384095,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11175370740,,,,,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11175295204,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11175288158,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11175277587,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11175267972,,,,,Health Services are Too Far Away,,,,Have to Wait Too Long at Doctor's Visit,,,,,,
11175258600,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,,,,,,,,
11175250062,Cultural/Religious Beliefs,,Fear (Immigration or Legal Status),,,,Lack of Knowledge/Understanding of Need,,,,,,,,
11175236349,,,,Focus on Other Issues,,,,,,,,Too Busy/Can't Get Off Work,,,
11175229187,,,Fear (Immigration or Legal Status),,,,Lack of Knowledge/Understanding of Need,,,,,,,,
11175219611,,,,,,Lack of Insurance/Unable to Pay,,,,,Lack of Quality Services,,Lack of Providers Who Accept Your Insurance,,
11175199664,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,,,,,,,
11175189002,Cultural/Religious Beliefs,Fear (Not Ready to Face Health Problem),,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,,,,,,,
11175176277,,,,Focus on Other Issues,,Lack of Insurance/Unable to Pay,,,,,,,,,
11175164765,,,,,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11175139037,,Fear (Not Ready to Face Health Problem),,Focus on Other Issues,,,,,,,,,,,
11175128915,,Fear (Not Ready to Face Health Problem),,,,,,No Appointments Available at Doctor When Needed,,,,Too Busy/Can't Get Off Work,,,
11175115405,,,,,,Lack of Insurance/Unable to Pay,,,,,,Too Busy/Can't Get Off Work,Lack of Providers Who Accept Your Insurance,,
11175104609,,,Fear (Immigration or Legal Status),,,,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11175092364,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,Lack of Providers Who Accept Your Insurance,,
11173249386,,,,,Health Services are Too Far Away,Lack of Insurance/Unable to Pay,,,,,,,,,
11173235540,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,,,,,,
11173223016,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11173209838,,Fear (Not Ready to Face Health Problem),,,,,,,,,,,,,
11173198394,,Fear (Not Ready to Face Health Problem),,,,Lack of Insurance/Unable to Pay,,,Have to Wait Too Long at Doctor's Visit,,,,,,
11173190326,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11173055944,,,,,,Lack of Insurance/Unable to Pay,,,,,,,,,
11173042890,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,Lack of Transportation,,,,,
11173026214,,,,,,Lack of Insurance/Unable to Pay,,,,,,,Lack of Providers Who Accept Your Insurance,,
11172966525,,Fear (Not Ready to Face Health Problem),,,,,Lack of Knowledge/Understanding of Need,,Have to Wait Too Long at Doctor's Visit,,,,,,
11172938467,,,,,,,,,,,,,,None/No Barriers,
11172872881,,,,,,Lack of Insurance/Unable to Pay,Lack of Knowledge/Understanding of Need,No Appointments Available at Doctor When Needed,,Lack of Transportation,,,,,
11172803317,,,,,,Lack of Insurance/Unable to Pay,,,,Lack of Transportation,Lack of Quality Services,,,,
11172753320,,,,,,,,,,,,,,,Even i f you have insurance its too expensive
11172746603,,,,,,,,,,,,,,,Even i f you have insurance its too expensive
11172363102,,,Fear (Immigration or Legal Status),,,Lack of Insurance/Unable to Pay,,No Appointments Available at Doctor When Needed,,Lack of Transportation,,,,,
