RespondID,No,PrimaryCare,EmergencyCare,DentalAdult,DentalChild,Hospital,Pediatric,Specialty,PharmacyMedication,MentalBehavioral,LegalCounsel,FoodPantryMeals,Shelter,UtilitiesAssistance,ChildCare,RentalHousingAssistance,SupportGroups,PreNatalMaternity,SubstanceAbuseTreatment,Other
11175384095,,,, Dental Care ,,,,,,,,,,,, Rental/Housing Assistance,,,,
11175370740,,,, Dental Care ,,,,,,,,,,,, Rental/Housing Assistance,,,,
11175295204,No,,,,,,,,,,,,,,,,,,,
11175288158,No,,,,,,,,,,,,,,,,,,,
11175277587,No,,,,,,,,,,,,,,,,,,,
11175267972,No,,,,,,,,,,,,,,,,,,,
11175258600,,,,,,,,,,,,,,,,,,,,Reasonable dental care
11175250062,No,,,,,,,,,,,,,,,,,,,
11175236349,,,,,,,,,, Mental & Behavioral Health Care,,,,,,,,,,
11175229187,,,,,, Hospital Care,,,, Mental & Behavioral Health Care,,,,,,,,,,
11175219611,,,, Dental Care ,,,, Specialty Care (Specify Under Other),, Mental & Behavioral Health Care,,,,,,,,,,Neurology
11175199664,No,,,,,,,,,,,,,,,,,,,
11175189002,,,, Dental Care ,, Hospital Care,,,, Mental & Behavioral Health Care,,,,,,,,,,
11175176277,,,,,,,,,,,,,,,,,,,,
11175164765,No,,,,,,,,,,,,,,,,,,,
11175139037,No,,,,,,,,,,,,,,,,,,,
11175128915,No,,,,,,,,,,,,,,,,,,,
11175115405,,"Yes, Primary Care",, Dental Care ,, Hospital Care,,,"Yes, Pharmacy/Medication",,,,, Utilities Assistance,, Rental/Housing Assistance,,,,
11175104609,,"Yes, Primary Care",,,,,,,"Yes, Pharmacy/Medication",,,,,,,,,,,
11175092364,,"Yes, Primary Care",,,,,,,, Mental & Behavioral Health Care,, Food Pantries/Meals,, Utilities Assistance,, Rental/Housing Assistance,,,,
11173249386,No,,,,,,,,,,,,,,,,,,,
11173235540,,,,,,,,,,, Legal Counsel,,,,,,,,,
11173223016,,"Yes, Primary Care",, Dental Care ,,,,,,,,,,,,,,,,
11173209838,,,,,,,,,,,,,, Utilities Assistance,, Rental/Housing Assistance,,,,
11173198394,,,,,,,,,,,,,,,, Rental/Housing Assistance, Support Groups,,,
11173190326,No,,,,,,,,,,,,,,,,,,,
11173055944,,,,,,,,,,,,,,, Child Care,,,,,
